Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Rice,106,cups,Grains,Tomato Soup,Soup,Medium,480,34,10,24,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,7,61
Tomato,191,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,190,45,33,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,31,29
Spinach,135,slices,Dairy,Rice Pilaf,Snack,Hard,251,45,45,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,33,107
Beef,89,grams,Proteins,Beef Stir-Fry,Dinner,Medium,188,9,8,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,46,99
Lettuce,73,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,145,44,37,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,35,13
Potato,83,cups,Grains,Mashed Potatoes,Side Dish,Medium,456,8,14,34,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,37,61
Carrot,105,pieces,Vegetables,Carrot Soup,Soup,Medium,248,27,36,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,13,88
Onion,124,slices,Vegetables,Onion Rings,Snack,Medium,226,27,32,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,25,116
Chicken,57,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,259,15,35,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,37,37
Broccoli,171,ounces,Vegetables,Broccoli Salad,Lunch,Medium,306,18,47,42,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,35,108
Rice,189,cups,Grains,Tomato Soup,Soup,Medium,195,47,34,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,56,23
Tomato,188,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,381,46,15,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,38,28
Spinach,188,slices,Dairy,Rice Pilaf,Snack,Hard,327,16,39,10,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,52,56
Beef,119,grams,Proteins,Beef Stir-Fry,Dinner,Medium,159,38,44,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,56,119
Lettuce,66,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,392,23,46,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,44,100
Potato,151,cups,Grains,Mashed Potatoes,Side Dish,Medium,343,37,31,44,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,5,79
Carrot,170,pieces,Vegetables,Carrot Soup,Soup,Medium,162,19,19,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,57,90
Onion,109,slices,Vegetables,Onion Rings,Snack,Medium,393,45,32,29,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,50,99
Chicken,144,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,379,39,24,20,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,51,37
Broccoli,97,ounces,Vegetables,Broccoli Salad,Lunch,Medium,334,45,48,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,56,85
Rice,143,cups,Grains,Tomato Soup,Soup,Medium,457,19,23,47,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,44,10
Tomato,121,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,302,36,32,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,22,71
Spinach,197,slices,Dairy,Rice Pilaf,Snack,Hard,100,49,36,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,46,28
Beef,140,grams,Proteins,Beef Stir-Fry,Dinner,Medium,125,23,24,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,41,72
Lettuce,83,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,369,29,38,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,29,99
Potato,169,cups,Grains,Mashed Potatoes,Side Dish,Medium,424,28,27,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,15,101
Carrot,64,pieces,Vegetables,Carrot Soup,Soup,Medium,382,37,47,44,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,57,92
Onion,50,slices,Vegetables,Onion Rings,Snack,Medium,424,11,19,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,11,114
Chicken,131,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,364,9,41,20,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,46,77
Broccoli,139,ounces,Vegetables,Broccoli Salad,Lunch,Medium,382,15,49,38,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,43,28
Rice,172,cups,Grains,Tomato Soup,Soup,Medium,153,48,14,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,36,59
Tomato,117,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,359,27,17,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,58,103
Spinach,124,slices,Dairy,Rice Pilaf,Snack,Hard,242,41,22,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,48,72
Beef,94,grams,Proteins,Beef Stir-Fry,Dinner,Medium,488,25,11,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,31,96
Lettuce,89,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,471,46,11,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,31,111
Potato,149,cups,Grains,Mashed Potatoes,Side Dish,Medium,123,21,40,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,59,66
Carrot,120,pieces,Vegetables,Carrot Soup,Soup,Medium,409,50,42,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,45,54
Onion,154,slices,Vegetables,Onion Rings,Snack,Medium,161,19,43,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,28,82
Chicken,110,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,194,8,25,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,6,37
Broccoli,149,ounces,Vegetables,Broccoli Salad,Lunch,Medium,445,41,9,24,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,13,37
Rice,157,cups,Grains,Tomato Soup,Soup,Medium,495,35,48,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,37,107
Tomato,67,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,207,33,31,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,56,80
Spinach,58,slices,Dairy,Rice Pilaf,Snack,Hard,444,21,46,19,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,31,98
Beef,142,grams,Proteins,Beef Stir-Fry,Dinner,Medium,183,18,30,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,39,112
Lettuce,141,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,172,9,28,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,6,17
Potato,106,cups,Grains,Mashed Potatoes,Side Dish,Medium,236,14,10,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,17,54
Carrot,190,pieces,Vegetables,Carrot Soup,Soup,Medium,319,34,17,35,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,40,75
Onion,157,slices,Vegetables,Onion Rings,Snack,Medium,432,37,18,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,18,43
Chicken,173,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,283,7,40,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,37,19
Broccoli,198,ounces,Vegetables,Broccoli Salad,Lunch,Medium,442,26,28,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,53,53
Rice,182,cups,Grains,Tomato Soup,Soup,Medium,438,11,11,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,32,14
Tomato,121,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,436,39,14,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,36,20
Spinach,102,slices,Dairy,Rice Pilaf,Snack,Hard,413,39,21,42,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,24,50
Beef,57,grams,Proteins,Beef Stir-Fry,Dinner,Medium,227,7,27,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,17,11
Lettuce,175,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,269,33,17,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,27,76
Potato,93,cups,Grains,Mashed Potatoes,Side Dish,Medium,449,28,25,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,22,106
Carrot,106,pieces,Vegetables,Carrot Soup,Soup,Medium,231,43,23,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,29,112
Onion,88,slices,Vegetables,Onion Rings,Snack,Medium,260,32,41,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,6,114
Chicken,128,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,215,43,44,9,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,29,14
Broccoli,146,ounces,Vegetables,Broccoli Salad,Lunch,Medium,375,44,47,28,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,32,69
Rice,124,cups,Grains,Tomato Soup,Soup,Medium,146,10,26,7,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,10,48
Tomato,115,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,363,20,46,41,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,38,23
Spinach,107,slices,Dairy,Rice Pilaf,Snack,Hard,425,32,14,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,56,109
Beef,75,grams,Proteins,Beef Stir-Fry,Dinner,Medium,283,23,18,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,24,100
Lettuce,177,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,458,6,13,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,34,52
Potato,166,cups,Grains,Mashed Potatoes,Side Dish,Medium,273,38,9,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,36,77
Carrot,177,pieces,Vegetables,Carrot Soup,Soup,Medium,461,47,49,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,47,81
Onion,194,slices,Vegetables,Onion Rings,Snack,Medium,479,49,19,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,28,106
Chicken,150,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,241,30,15,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,14,106
Broccoli,148,ounces,Vegetables,Broccoli Salad,Lunch,Medium,482,11,40,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,25,45
Rice,196,cups,Grains,Tomato Soup,Soup,Medium,427,40,29,34,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,5,109
Tomato,128,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,366,17,13,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,13,56
Spinach,70,slices,Dairy,Rice Pilaf,Snack,Hard,261,20,40,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,49,75
Beef,90,grams,Proteins,Beef Stir-Fry,Dinner,Medium,170,10,25,23,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,10,24
Lettuce,159,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,124,6,7,24,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,37,84
Potato,111,cups,Grains,Mashed Potatoes,Side Dish,Medium,215,5,26,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,16,10
Carrot,115,pieces,Vegetables,Carrot Soup,Soup,Medium,263,49,37,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,24,48
Onion,108,slices,Vegetables,Onion Rings,Snack,Medium,215,24,31,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,24,41
Chicken,118,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,377,18,47,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,60,50
Broccoli,114,ounces,Vegetables,Broccoli Salad,Lunch,Medium,349,16,33,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,23,53
Rice,84,cups,Grains,Tomato Soup,Soup,Medium,204,26,30,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,37,39
Tomato,103,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,328,41,33,18,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,11,44
Spinach,179,slices,Dairy,Rice Pilaf,Snack,Hard,284,36,28,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,23,94
Beef,69,grams,Proteins,Beef Stir-Fry,Dinner,Medium,165,16,36,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,60,35
Lettuce,75,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,114,40,24,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,8,33
Potato,161,cups,Grains,Mashed Potatoes,Side Dish,Medium,101,16,30,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,52,116
Carrot,91,pieces,Vegetables,Carrot Soup,Soup,Medium,261,13,17,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,52,28
Onion,155,slices,Vegetables,Onion Rings,Snack,Medium,164,32,41,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,16,62
Chicken,178,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,244,48,15,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,17,110
Broccoli,107,ounces,Vegetables,Broccoli Salad,Lunch,Medium,334,28,11,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,47,71
Rice,115,cups,Grains,Tomato Soup,Soup,Medium,324,25,11,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,27,23
Tomato,120,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,470,9,34,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,11,96
Spinach,96,slices,Dairy,Rice Pilaf,Snack,Hard,161,32,38,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,32,44
Beef,173,grams,Proteins,Beef Stir-Fry,Dinner,Medium,201,39,10,28,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,59,43
Lettuce,63,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,367,47,11,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,9,38
Potato,123,cups,Grains,Mashed Potatoes,Side Dish,Medium,470,39,28,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,7,99
Carrot,181,pieces,Vegetables,Carrot Soup,Soup,Medium,302,36,27,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,39,99
Onion,142,slices,Vegetables,Onion Rings,Snack,Medium,102,33,18,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,40,37
Chicken,146,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,407,26,27,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,54,39
Broccoli,73,ounces,Vegetables,Broccoli Salad,Lunch,Medium,281,16,26,23,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,46,37
Rice,125,cups,Grains,Tomato Soup,Soup,Medium,475,27,21,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,33,35
Tomato,86,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,436,42,38,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,45,41
Spinach,144,slices,Dairy,Rice Pilaf,Snack,Hard,121,13,31,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,11,18
Beef,75,grams,Proteins,Beef Stir-Fry,Dinner,Medium,473,49,20,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,55,32
Lettuce,154,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,255,15,36,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,18,49
Potato,178,cups,Grains,Mashed Potatoes,Side Dish,Medium,441,41,14,50,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,14,68
Carrot,69,pieces,Vegetables,Carrot Soup,Soup,Medium,363,41,31,47,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,42,56
Onion,63,slices,Vegetables,Onion Rings,Snack,Medium,495,32,38,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,59,39
Chicken,92,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,345,15,28,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,18,31
Broccoli,103,ounces,Vegetables,Broccoli Salad,Lunch,Medium,437,33,40,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,28,41
Rice,179,cups,Grains,Tomato Soup,Soup,Medium,150,41,6,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,50,56
Tomato,168,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,375,23,19,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,54,10
Spinach,91,slices,Dairy,Rice Pilaf,Snack,Hard,180,41,16,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,35,117
Beef,54,grams,Proteins,Beef Stir-Fry,Dinner,Medium,328,15,20,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,21,74
Lettuce,106,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,398,42,25,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,57,106
Potato,151,cups,Grains,Mashed Potatoes,Side Dish,Medium,452,34,19,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,37,117
Carrot,169,pieces,Vegetables,Carrot Soup,Soup,Medium,438,43,13,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,55,90
Onion,108,slices,Vegetables,Onion Rings,Snack,Medium,258,25,37,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,22,47
Chicken,95,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,137,7,44,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,26,119
Broccoli,188,ounces,Vegetables,Broccoli Salad,Lunch,Medium,154,35,43,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,56,56
Rice,126,cups,Grains,Tomato Soup,Soup,Medium,303,21,46,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,34,36
Tomato,168,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,126,35,19,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,11,25
Spinach,66,slices,Dairy,Rice Pilaf,Snack,Hard,288,45,38,13,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,6,88
Beef,97,grams,Proteins,Beef Stir-Fry,Dinner,Medium,214,40,18,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,20,65
Lettuce,107,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,312,33,24,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,44,114
Potato,85,cups,Grains,Mashed Potatoes,Side Dish,Medium,441,39,47,34,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,44,116
Carrot,181,pieces,Vegetables,Carrot Soup,Soup,Medium,120,11,11,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,24,82
Onion,193,slices,Vegetables,Onion Rings,Snack,Medium,441,22,18,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,53,59
Chicken,116,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,470,45,27,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,36,45
Broccoli,73,ounces,Vegetables,Broccoli Salad,Lunch,Medium,436,22,28,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,23,52
